Time_Minutes,dijkstra_SuccessRate,dijkstra_AvgHops,dijkstra_AvgDelay,dijkstra_CrossDomainRate,dijkstra_RoutingOverhead,minhop_SuccessRate,minhop_AvgHops,minhop_AvgDelay,minhop_CrossDomainRate,minhop_RoutingOverhead,crossdomain_SuccessRate,crossdomain_AvgHops,crossdomain_AvgDelay,crossdomain_CrossDomainRate,crossdomain_RoutingOverhead,rl_SuccessRate,rl_AvgHops,rl_AvgDelay,rl_CrossDomainRate,rl_RoutingOverhead
0,100,2.64,40.8888390727205,96,4195.08117123627,100,2.64,45.5052071485041,96,4195.08117123627,100,3.48,41.4295652372187,96,3.88,100,4.42,58.5010315134925,96,1
5,100,9.06,18.5500421293468,96,4195.08117123627,100,1.68,19.0668491410152,96,4195.08117123627,100,7.96,18.4816662850648,96,3.88,100,9.7,26.8070047586195,96,1
10,100,8.58,18.4180601095362,94,4195.08117123627,100,1.68,18.2429792615722,94,4195.08117123627,100,8.02,18.472071331179,94,3.82,100,9.12,28.331614750016,94,1
15,100,9.82,19.2349744771654,92,4195.08117123627,100,1.94,20.8216637526483,92,4195.08117123627,100,8.58,19.1342066030683,92,3.76,100,11.9,31.5476486155495,92,1
20,100,7.48,15.6785317821318,92,4195.08117123627,100,1.56,17.5633854984057,92,4195.08117123627,100,6.74,15.9450381095877,92,3.76,100,9.04,26.5036316816399,92,1
25,100,8.44,16.6836958618784,96,4195.08117123627,100,1.56,17.3536219136901,96,4195.08117123627,100,7.7,16.7549161198907,96,3.88,100,10.72,29.4170751923815,96,1
30,100,6.28,16.1742072307315,92,4195.08117123627,100,1.6,17.014182646941,92,4195.08117123627,100,5.54,16.2390946065389,92,3.76,100,8.06,26.2767654678932,92,1
35,100,9.26,18.7026906528382,92,4195.08117123627,100,1.72,19.3922369386982,92,4195.08117123627,100,8.9,18.8746871155724,92,3.76,100,9.44,26.4495166676728,92,1
40,100,9.74,19.3476766114037,98,4195.08117123627,100,1.76,20.9877408147137,98,4195.08117123627,100,8.68,19.4292118679077,98,3.94,98,10.1224489795918,25.9632415269153,97.9591836734694,1
45,100,10.54,20.526442118409,94,4195.08117123627,100,1.76,20.9222078504667,94,4195.08117123627,100,10.08,20.7426096540511,94,3.82,100,8.82,27.3098248592667,94,1
50,100,9.54,18.2184145705031,92,4195.08117123627,100,1.62,17.9014963065386,92,4195.08117123627,100,8.3,18.1006019958422,92,3.76,100,11.48,30.2793880593486,92,1
55,100,8.54,15.824877287449,100,4195.08117123627,100,1.46,16.4336900694677,100,4195.08117123627,100,8.64,15.9490225282043,100,4,100,10.94,27.48855024103,100,1
