episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
1,-15.364265875437946,32,1,242.0223766636408,32,0.9980,,2026-04-02 14:15:30
2,-15.873960778294641,32,1,280.1941891042481,119,0.9960,,2026-04-02 14:15:31
3,-34.114215555211864,58,1,268.1848261594531,122,0.9940,,2026-04-02 14:15:31
4,-15.711376276256072,19,1,143.1133340743087,160,0.9920,0.259640,2026-04-02 14:15:32
5,0.9805621752591263,7,1,27.486649732029736,175,0.9900,0.582439,2026-04-02 14:15:33
6,-4.74116830306667,8,1,117.57099977291666,226,0.9881,0.088198,2026-04-02 14:15:33
7,0.34623166671971806,9,1,35.845122500073884,255,0.9861,0.134078,2026-04-02 14:15:34
8,-0.041732075007006375,4,1,20.094014223951287,293,0.9841,0.102360,2026-04-02 14:15:35
9,-39.73276875793919,71,1,365.0156894906846,325,0.9821,0.124936,2026-04-02 14:15:35
10,-5.548350364786565,13,1,110.76874366335852,331,0.9802,0.129441,2026-04-02 14:15:36
11,-0.8000862865427034,11,1,73.77897907803553,392,0.9782,0.089239,2026-04-02 14:15:37
12,0.2380004616291776,1,1,17.457573980987636,406,0.9763,0.031891,2026-04-02 14:15:37
13,-6.990031562875983,14,1,193.08818657760472,412,0.9743,0.093019,2026-04-02 14:15:37
14,-10.606550330002445,14,1,148.6218687257479,446,0.9724,0.049836,2026-04-02 14:15:38
15,-9.169407919237257,28,1,232.24117191686577,448,0.9704,0.075213,2026-04-02 14:15:38
16,-1.1987790604974615,5,1,35.893862305867344,494,0.9685,0.068539,2026-04-02 14:15:38
17,-1.5579015470256468,7,1,54.06204171582647,506,0.9665,0.068895,2026-04-02 14:15:39
18,0.0915328504913762,3,1,19.253806258663605,523,0.9646,0.023529,2026-04-02 14:15:39
19,-21.467048661537223,55,1,429.94296103775895,764,0.9627,0.039001,2026-04-02 14:15:43
20,-37.28264347412615,47,1,324.1002781474928,788,0.9608,0.027692,2026-04-02 14:15:44
21,-38.90810362275333,50,1,277.9438833592221,806,0.9588,0.041926,2026-04-02 14:15:44
22,-23.546571057991155,69,1,355.6942488851446,839,0.9569,0.049268,2026-04-02 14:15:44
23,-64.251829306618,112,1,700.222188909364,865,0.9550,0.036137,2026-04-02 14:15:45
24,-0.9908364536509392,11,1,66.24536601194689,960,0.9531,0.014252,2026-04-02 14:15:47
25,-37.374353695175834,90,1,714.9080653920078,984,0.9512,0.054458,2026-04-02 14:15:47
